"_id","_labels",":START_ID",":END_ID",":TYPE"
,,"0","1","FOLLOWS"
,,"2","0","FOLLOWS"
,,"0","3","FOLLOWS"
,,"4","0","FOLLOWS"
,,"0","5","FOLLOWS"
,,"6","0","FOLLOWS"
,,"7","0","FOLLOWS"
,,"0","8","FOLLOWS"
,,"0","9","FOLLOWS"
,,"10","0","FOLLOWS"
,,"0","11","FOLLOWS"
,,"12","0","FOLLOWS"
,,"13","0","FOLLOWS"
,,"0","14","FOLLOWS"
,,"15","0","FOLLOWS"
,,"0","16","FOLLOWS"
,,"17","0","FOLLOWS"
,,"0","18","FOLLOWS"
,,"19","0","FOLLOWS"
,,"0","20","FOLLOWS"
,,"21","0","FOLLOWS"
,,"0","22","FOLLOWS"
,,"23","0","FOLLOWS"
,,"0","24","FOLLOWS"
,,"25","0","FOLLOWS"
,,"0","26","FOLLOWS"
,,"27","0","FOLLOWS"
,,"0","28","FOLLOWS"
,,"29","0","FOLLOWS"
,,"0","30","FOLLOWS"
,,"31","0","FOLLOWS"
,,"0","32","FOLLOWS"
,,"33","0","FOLLOWS"
,,"0","34","FOLLOWS"
,,"35","0","FOLLOWS"
,,"0","36","FOLLOWS"
,,"37","0","FOLLOWS"
,,"0","38","FOLLOWS"
,,"39","0","FOLLOWS"
,,"0","40","FOLLOWS"
,,"41","0","FOLLOWS"
,,"43","0","FOLLOWS"
,,"0","42","FOLLOWS"
,,"44","0","FOLLOWS"
,,"0","45","FOLLOWS"
,,"46","0","FOLLOWS"
,,"0","47","FOLLOWS"
,,"48","0","FOLLOWS"
,,"0","49","FOLLOWS"
,,"50","0","FOLLOWS"
,,"0","51","FOLLOWS"
,,"52","0","FOLLOWS"
,,"0","53","FOLLOWS"
,,"54","0","FOLLOWS"
,,"0","55","FOLLOWS"
,,"0","56","FOLLOWS"
,,"57","0","FOLLOWS"
,,"0","58","FOLLOWS"
,,"59","0","FOLLOWS"
,,"0","60","FOLLOWS"
,,"61","0","FOLLOWS"
,,"0","62","FOLLOWS"
,,"63","0","FOLLOWS"
,,"64","0","FOLLOWS"
,,"0","65","FOLLOWS"
,,"66","0","FOLLOWS"
,,"0","67","FOLLOWS"
,,"68","0","FOLLOWS"
,,"0","69","FOLLOWS"
,,"70","0","FOLLOWS"
,,"0","71","FOLLOWS"
,,"72","0","FOLLOWS"
,,"0","73","FOLLOWS"
,,"74","0","FOLLOWS"
,,"0","75","FOLLOWS"
,,"76","0","FOLLOWS"
,,"0","77","FOLLOWS"
,,"78","0","FOLLOWS"
,,"79","0","FOLLOWS"
,,"0","80","FOLLOWS"
,,"81","0","FOLLOWS"
,,"83","0","FOLLOWS"
,,"0","82","FOLLOWS"
,,"84","0","FOLLOWS"
,,"0","85","FOLLOWS"
,,"86","0","FOLLOWS"
,,"0","87","FOLLOWS"
,,"88","0","FOLLOWS"
,,"0","89","FOLLOWS"
,,"90","0","FOLLOWS"
,,"0","91","FOLLOWS"
,,"93","0","FOLLOWS"
,,"0","95","FOLLOWS"
,,"96","0","FOLLOWS"
,,"97","0","FOLLOWS"
,,"0","98","FOLLOWS"
,,"106","0","FOLLOWS"
,,"0","114","FOLLOWS"
,,"128","0","FOLLOWS"
,,"0","131","FOLLOWS"
,,"134","0","FOLLOWS"
,,"0","145","FOLLOWS"
,,"149","0","FOLLOWS"
,,"188","0","FOLLOWS"
,,"0","159","FOLLOWS"
,,"189","0","FOLLOWS"
,,"0","190","FOLLOWS"
,,"191","0","FOLLOWS"
,,"0","192","FOLLOWS"
,,"0","193","FOLLOWS"
,,"194","0","FOLLOWS"
,,"0","195","FOLLOWS"
,,"0","198","FOLLOWS"
,,"197","0","FOLLOWS"
,,"200","0","FOLLOWS"
,,"0","201","FOLLOWS"
,,"205","0","FOLLOWS"
,,"0","206","FOLLOWS"
,,"207","0","FOLLOWS"
,,"0","211","FOLLOWS"
,,"215","0","FOLLOWS"
,,"0","219","FOLLOWS"
,,"221","0","FOLLOWS"
,,"0","226","FOLLOWS"
,,"0","232","FOLLOWS"
,,"233","0","FOLLOWS"
,,"0","242","FOLLOWS"
,,"241","0","FOLLOWS"
,,"0","245","FOLLOWS"
,,"250","0","FOLLOWS"
,,"258","0","FOLLOWS"
,,"0","259","FOLLOWS"
,,"0","260","FOLLOWS"
,,"262","0","FOLLOWS"
,,"0","264","FOLLOWS"
,,"0","283","FOLLOWS"
,,"285","0","FOLLOWS"
,,"0","284","FOLLOWS"
,,"293","0","FOLLOWS"
,,"0","291","FOLLOWS"
,,"302","0","FOLLOWS"
,,"0","299","FOLLOWS"
,,"0","301","FOLLOWS"
,,"308","0","FOLLOWS"
,,"0","310","FOLLOWS"
,,"0","311","FOLLOWS"
,,"316","0","FOLLOWS"
,,"0","318","FOLLOWS"
,,"326","0","FOLLOWS"
,,"0","325","FOLLOWS"
,,"0","335","FOLLOWS"
,,"0","338","FOLLOWS"
,,"331","0","FOLLOWS"
,,"346","0","FOLLOWS"
,,"0","345","FOLLOWS"
,,"350","0","FOLLOWS"
,,"0","349","FOLLOWS"
,,"353","0","FOLLOWS"
,,"0","352","FOLLOWS"
,,"356","0","FOLLOWS"
,,"0","357","FOLLOWS"
,,"359","0","FOLLOWS"
,,"0","360","FOLLOWS"
,,"363","0","FOLLOWS"
,,"0","364","FOLLOWS"
,,"0","367","FOLLOWS"
,,"368","0","FOLLOWS"
,,"0","369","FOLLOWS"
,,"371","0","FOLLOWS"
,,"0","373","FOLLOWS"
,,"0","375","FOLLOWS"
,,"377","0","FOLLOWS"
,,"378","0","FOLLOWS"
,,"0","379","FOLLOWS"
,,"0","383","FOLLOWS"
,,"382","0","FOLLOWS"
,,"0","384","FOLLOWS"
,,"387","0","FOLLOWS"
,,"0","389","FOLLOWS"
,,"391","0","FOLLOWS"
,,"0","392","FOLLOWS"
,,"393","0","FOLLOWS"
,,"0","394","FOLLOWS"
,,"0","398","FOLLOWS"
,,"396","0","FOLLOWS"
,,"0","399","FOLLOWS"
,,"400","0","FOLLOWS"
,,"403","0","FOLLOWS"
,,"0","404","FOLLOWS"
,,"405","0","FOLLOWS"
,,"0","406","FOLLOWS"
,,"407","0","FOLLOWS"
,,"0","408","FOLLOWS"
,,"410","0","FOLLOWS"
,,"0","412","FOLLOWS"
,,"413","0","FOLLOWS"
,,"0","417","FOLLOWS"
,,"419","0","FOLLOWS"
,,"0","422","FOLLOWS"
,,"424","0","FOLLOWS"
,,"0","425","FOLLOWS"
,,"0","428","FOLLOWS"
,,"429","0","FOLLOWS"
,,"0","430","FOLLOWS"
,,"445","0","FOLLOWS"
,,"0","446","FOLLOWS"
,,"447","0","FOLLOWS"
,,"451","0","FOLLOWS"
,,"0","448","FOLLOWS"
,,"453","0","FOLLOWS"
,,"0","454","FOLLOWS"
,,"0","456","FOLLOWS"
,,"457","0","FOLLOWS"
,,"0","461","FOLLOWS"
,,"460","0","FOLLOWS"
,,"0","465","FOLLOWS"
,,"466","0","FOLLOWS"
,,"468","0","FOLLOWS"
,,"0","469","FOLLOWS"
,,"471","0","FOLLOWS"
,,"473","0","FOLLOWS"
,,"0","472","FOLLOWS"
,,"474","0","FOLLOWS"
,,"0","475","FOLLOWS"
,,"0","478","FOLLOWS"
,,"477","0","FOLLOWS"
,,"0","482","FOLLOWS"
,,"481","0","FOLLOWS"
,,"0","484","FOLLOWS"
,,"486","0","FOLLOWS"
,,"0","490","FOLLOWS"
,,"491","0","FOLLOWS"
,,"494","0","FOLLOWS"
,,"0","492","FOLLOWS"
,,"495","0","FOLLOWS"
,,"0","497","FOLLOWS"
,,"499","0","FOLLOWS"
,,"508","0","FOLLOWS"
,,"0","501","FOLLOWS"
,,"0","511","FOLLOWS"
,,"512","0","FOLLOWS"
,,"0","514","FOLLOWS"
,,"0","516","FOLLOWS"
,,"517","0","FOLLOWS"
,,"0","519","FOLLOWS"
,,"520","0","FOLLOWS"
,,"524","0","FOLLOWS"
,,"0","523","FOLLOWS"
,,"525","0","FOLLOWS"
,,"0","526","FOLLOWS"
,,"529","0","FOLLOWS"
,,"0","531","FOLLOWS"
,,"534","0","FOLLOWS"
,,"0","535","FOLLOWS"
,,"539","0","FOLLOWS"
,,"0","541","FOLLOWS"
,,"544","0","FOLLOWS"
,,"0","545","FOLLOWS"
,,"0","548","FOLLOWS"
,,"547","0","FOLLOWS"
,,"0","549","FOLLOWS"
,,"550","0","FOLLOWS"
,,"0","555","FOLLOWS"
,,"554","0","FOLLOWS"
,,"0","558","FOLLOWS"
,,"559","0","FOLLOWS"
,,"0","561","FOLLOWS"
,,"564","0","FOLLOWS"
,,"0","566","FOLLOWS"
,,"567","0","FOLLOWS"
,,"0","568","FOLLOWS"
,,"569","0","FOLLOWS"
,,"573","0","FOLLOWS"
,,"0","574","FOLLOWS"
,,"581","0","FOLLOWS"
,,"587","0","FOLLOWS"
,,"0","586","FOLLOWS"
